alpha,elevator,CL,CD,Cm
-2.0,-15.0,-0.09958,0.0054,0.16555
-2.0,-10.0,-0.0831,0.003,0.12945
-2.0,-5.0,-0.06659,0.00137,0.09335
-2.0,0.0,-0.05005,0.00049,0.05726
-2.0,5.0,-0.03349,0.00037,0.02117
0.0,-15.0,-0.0497,0.00341,0.10833
0.0,-10.0,-0.03313,0.00152,0.07222
0.0,-5.0,-0.01656,0.00038,0.03611
0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.01656,0.00038,-0.0361
2.0,-15.0,0.00043,0.0024,0.05063
2.0,-10.0,0.01702,0.00101,0.01459
2.0,-5.0,0.03359,0.00037,-0.02144
2.0,0.0,0.05012,0.00049,-0.05747
2.0,5.0,0.06663,0.00137,-0.0935
4.0,-15.0,0.05064,0.00237,-0.00726
4.0,-10.0,0.0672,0.00149,-0.04314
4.0,-5.0,0.08371,0.00135,-0.07901
4.0,0.0,0.10016,0.00197,-0.11487
4.0,5.0,0.11656,0.00333,-0.15074
6.0,-15.0,0.10075,0.00334,-0.06507
6.0,-10.0,0.11723,0.00295,-0.1007
6.0,-5.0,0.13362,0.00331,-0.13632
6.0,0.0,0.14994,0.00441,-0.17193
6.0,5.0,0.16618,0.00626,-0.20754
8.0,-15.0,0.15061,0.00528,-0.12252
8.0,-10.0,0.16695,0.00538,-0.1578
8.0,-5.0,0.18318,0.00623,-0.19309
8.0,0.0,0.19931,0.00781,-0.22837
8.0,5.0,0.21533,0.01012,-0.26364
10.0,-15.0,0.20005,0.00817,-0.17931
10.0,-10.0,0.2162,0.00876,-0.21418
10.0,-5.0,0.23221,0.01008,-0.24904
10.0,0.0,0.2481,0.01212,-0.2839
10.0,5.0,0.26386,0.01488,-0.31875
12.0,-15.0,0.24892,0.01199,-0.23519
12.0,-10.0,0.26482,0.01305,-0.26955
12.0,-5.0,0.28057,0.01482,-0.30391
12.0,0.0,0.29616,0.0173,-0.33827
12.0,5.0,0.31161,0.02049,-0.37262
