# Airfoil: NACA_64-212
# Reynolds: 3000000
# Mach: 0.25
# Ncrit: 9.0
alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
-5.00,-0.350000,0.012825,0.007695,-0.035000,0.9150,0.8650
-4.50,-0.295000,0.011051,0.006631,-0.036500,0.9150,0.8650
-4.00,-0.240000,0.009580,0.005748,-0.038000,0.9150,0.8650
-3.50,-0.185000,0.008411,0.005047,-0.039500,0.9150,0.8650
-3.00,-0.130000,0.007545,0.004527,-0.041000,0.9150,0.8650
-2.50,-0.075000,0.006981,0.004189,-0.042500,0.9150,0.8650
-2.00,-0.020000,0.006720,0.004032,-0.044000,0.9150,0.8650
-1.50,0.035000,0.006761,0.004057,-0.045500,0.9150,0.8650
-1.00,0.090000,0.007105,0.004263,-0.047000,0.9150,0.8650
-0.50,0.145000,0.007751,0.004651,-0.048500,0.9150,0.8650
0.00,0.200000,0.008700,0.005220,-0.050000,0.9150,0.8650
0.50,0.255000,0.009951,0.005971,-0.051500,0.9150,0.8650
1.00,0.310000,0.011505,0.006903,-0.053000,0.9150,0.8650
1.50,0.365000,0.013361,0.008017,-0.054500,0.9150,0.8650
2.00,0.420000,0.015520,0.009312,-0.056000,0.9150,0.8650
2.50,0.475000,0.017981,0.010789,-0.057500,0.9150,0.8650
3.00,0.530000,0.020745,0.012447,-0.059000,0.9150,0.8650
3.50,0.585000,0.023811,0.014287,-0.060500,0.9150,0.8650
4.00,0.640000,0.027180,0.016308,-0.062000,0.9150,0.8650
4.50,0.695000,0.030851,0.018511,-0.063500,0.9150,0.8650
5.00,0.750000,0.034825,0.020895,-0.065000,0.9150,0.8650
5.50,0.805000,0.039101,0.023461,-0.066500,0.9150,0.8650
6.00,0.860000,0.043680,0.026208,-0.068000,0.9150,0.8650
6.50,0.915000,0.048561,0.029137,-0.069500,0.9150,0.8650
7.00,0.970000,0.053745,0.032247,-0.071000,0.9150,0.8650
7.50,1.025000,0.059231,0.035539,-0.072500,0.9150,0.8650
8.00,1.080000,0.065020,0.039012,-0.074000,0.9150,0.8650
8.50,1.135000,0.071111,0.042667,-0.075500,0.9150,0.8650
9.00,1.190000,0.077505,0.046503,-0.077000,0.9150,0.8650
9.50,1.245000,0.084201,0.050521,-0.078500,0.9150,0.8650
10.00,1.300000,0.091200,0.054720,-0.080000,0.9150,0.8650
10.50,1.355000,0.098501,0.059101,-0.081500,0.9150,0.8650
11.00,1.410000,0.106105,0.063663,-0.083000,0.9150,0.8650
11.50,1.465000,0.114011,0.068407,-0.084500,0.9150,0.8650
12.00,1.520000,0.122220,0.073332,-0.086000,0.9150,0.8650
12.50,1.575000,0.130731,0.078439,-0.087500,0.9150,0.8650
13.00,1.600000,0.134700,0.080820,-0.089000,0.9150,0.8650
13.50,1.600000,0.134700,0.080820,-0.090500,0.9150,0.8650
14.00,1.600000,0.134700,0.080820,-0.092000,0.9150,0.8650
14.50,1.600000,0.134700,0.080820,-0.093500,0.9150,0.8650
15.00,1.600000,0.134700,0.080820,-0.095000,0.9150,0.8650
